"","EMTP","EMSECSM","WAPRSM3","WASCSM3","RACETHM","EMST_TOGA","SEX_2023","DGRDG","HDADV","HDCAR","HDCHG","HDEM","HDGRD","HDINT","HDOT","HDSKL","NDGMENG","NDGMEMG","HDCRN21C","EDDAD","EDMOM","N2DGRMED","FACADV","FACBEN","FACCHAL","FACIND","FACLOC","FACRESP","FACSAL","FACSEC","FACSOC","N3OCPRNG","N2OCPRMG","Years_To_First_Job","AGE","WKSWK","HRSWK","SALARY"
"12915","11","3","3","5","5","98","M","2","L","L","L","L","L","L","L","L","51","5","15","4","4","517210","2","2","1","1","3","1","1","2","3","51","5","4",25,52,40,110000
"12916","11","3","3","1","3","98","M","1","L","L","L","L","L","L","L","L","61","6","19","3","3","617820","1","1","3","1","2","2","1","1","2","61","6","2",22,52,20,18720
"12917","10","3","1","6","5","98","M","1","L","L","L","L","L","L","L","L","22","2","17","2","3","226320","1","1","1","1","1","3","1","1","1","22","2","1",22,52,40,41000
"12918","17","2","1","6","5","93","M","1","L","L","L","L","L","L","L","L","54","5","15","1","5","547280","2","1","2","1","1","1","2","1","1","54","5","3",28,52,44,105000
"12919","10","3","5","1","5","98","F","2","L","L","L","L","L","L","L","L","11","1","15","5","6","116760","1","2","1","1","1","2","1","2","1","11","1","9",28,52,40,160000
"12920","10","3","1","4","5","93","M","1","L","L","L","L","L","L","L","L","11","1","17","4","3","116730","2","2","2","2","1","2","1","1","2","11","1","1",23,52,40,85000
"12921","10","3","4","5","5","93","M","1","L","L","L","L","L","L","L","L","51","5","15","4","4","517210","1","2","1","2","3","2","1","1","2","11","1","0",22,52,40,180000
"12922","10","3","4","6","1","97","F","2","L","L","L","L","L","L","L","L","11","1","15","1","2","116730","1","1","1","2","1","2","1","1","2","64","6","3",23,52,43,134000
"12923","10","3","5","1","1","93","F","2","L","L","L","L","L","L","L","L","57","5","15","4","3","577240","1","1","1","1","1","1","1","1","1","56","5","5",28,52,48,250000
"12924","10","3","6","1","5","93","F","1","L","L","L","L","L","L","L","L","31","3","21","5","7","318730","2","1","2","1","2","2","1","2","1","31","3","0",22,52,40,62000
"12925","10","3","4","1","1","93","M","1","L","L","L","L","L","L","L","L","11","1","18","2","3","116730","2","1","2","1","1","2","1","2","3","11","1","1",24,52,45,111000
"12926","04","1","6","6","1","93","F","1","L","L","L","L","L","L","L","L","22","2","15","2","2","226370","2","1","2","2","1","2","1","1","2","61","6","2",22,52,40,80000
"12927","01","1","2","3","4","93","F","2","L","L","L","L","L","L","L","L","62","6","19","1","1","627090","2","1","1","1","1","2","2","1","1","63","6","1",25,26,40,64000
"12928","10","3","5","1","4","98","M","2","L","L","L","L","L","L","L","L","51","5","15","4","4","517210","2","1","1","2","1","2","1","1","2","51","5","4",28,52,40,90000
"12929","10","3","1","5","5","87","M","1","L","L","L","L","L","L","L","L","52","5","16","5","3","527250","1","1","2","1","2","1","1","1","2","57","5","0",23,52,45,82500
"12930","10","3","3","1","5","87","M","1","L","L","L","L","L","L","L","L","33","3","16","5","5","338780","2","1","2","2","2","2","2","2","2","11","1","0",24,52,50,195000
"12931","10","3","4","3","4","87","M","1","L","L","L","L","L","L","L","L","42","4","15","2","2","429280","2","1","3","2","2","2","1","1","3","11","1","5",34,52,43,91000
"12932","11","3","6","1","4","87","M","3","L","L","L","L","L","L","L","L","61","6","15","4","2","617900","2","1","1","1","1","2","2","1","1","61","6","8",30,52,40,175000
"12933","15","2","1","6","5","87","M","2","L","L","L","L","L","L","L","L","31","3","15","4","5","318730","2","1","1","1","2","2","1","1","2","31","3","5",26,52,40,73000
"12934","11","3","6","7","5","92","F","2","L","L","L","L","L","L","L","L","61","6","18","3","5","617870","1","1","2","2","1","2","1","2","2","61","6","3",23,52,36,70000
"12935","10","3","2","3","5","87","F","1","L","L","L","L","L","L","L","L","43","4","15","3","4","438940","2","2","1","1","2","1","2","1","1","75","7","0",22,52,40,50000
"12936","01","1","2","1","5","92","M","2","L","L","L","L","L","L","L","L","45","4","16","6","5","459240","1","1","1","1","1","1","1","1","1","73","7","6",28,37,40,56000
"12937","03","1","1","3","4","96","M","1","L","L","L","L","L","L","L","L","22","2","M","1","1","226420","1","1","1","1","1","1","1","1","1","64","6","2",22,52,40,28000
"12938","11","3","6","2","4","96","F","1","L","L","L","L","L","L","L","L","61","6","18","2","2","617870","1","1","2","1","1","1","1","1","1","61","6","0",31,52,40,34000
